Booking_ID,User_ID,Vehicle_Type,Pickup_Location,Drop_Location,Booking_Date,Booking_Time,Distance_km,Fare,Payment_Mode,Driver_ID,Status
1031,U3517,Hatchback,Bangalore Center,Pune Station,04-06-2024,04:34,4.4,83.31,Cash,D974,Pending
1032,U1359,Auto-rickshaw,Pune Center,Bangalore Station,05-06-2024,10:46,3,58.89,Wallet,D302,Cancelled
1033,U2767,Hatchback,Kolkata Center,Delhi Station,04-06-2024,20:31,6.5,124.04,UPI,D771,Pending
1034,U8612,Bike,Hyderabad Center,Kolkata Station,01-06-2024,09:21,11,252.29,UPI,D466,Pending
1035,U7356,Auto-rickshaw,Hyderabad Center,Kolkata Station,05-06-2024,16:21,4.1,77.11,UPI,D325,Cancelled
1036,U4505,Hatchback,Kolkata Center,Bangalore Station,02-06-2024,17:18,11.7,250.86,Cash,D563,Cancelled
1037,U3915,Sedan,Bangalore Center,Mumbai Station,01-06-2024,19:31,26.6,625.2,Cash,D116,Pending
1038,U7615,SUV,Chennai Center,Bangalore Station,01-06-2024,11:23,27.9,653.97,Wallet,D276,Completed
1039,U9904,Sedan,Hyderabad Center,Mumbai Station,01-06-2024,16:22,24.7,371.22,UPI,D774,Pending
1040,U2716,SUV,Hyderabad Center,Chennai Station,05-06-2024,04:53,12.7,274.68,Wallet,D714,Pending
1041,U9067,Hatchback,Chennai Center,Delhi Station,06-06-2024,06:51,24.6,516.38,Wallet,D560,Pending
1042,U9054,Bike,Mumbai Center,Hyderabad Station,05-06-2024,04:28,24.5,368.15,UPI,D821,Cancelled
1043,U8470,Sedan,Mumbai Center,Bangalore Station,02-06-2024,05:47,23.9,454.01,Online,D742,Cancelled
1044,U6703,SUV,Chennai Center,Delhi Station,02-06-2024,15:35,9.8,207.72,Online,D833,Pending
1045,U5159,SUV,Hyderabad Center,Pune Station,05-06-2024,10:18,17.5,429.49,Wallet,D635,Completed
1046,U6455,Bike,Bangalore Center,Hyderabad Station,03-06-2024,17:11,2.5,57.66,Cash,D593,Pending
1047,U5605,Bike,Chennai Center,Bangalore Station,01-06-2024,03:07,26.2,415.41,Cash,D752,Pending
1048,U2012,Hatchback,Kolkata Center,Pune Station,01-06-2024,00:54,26.7,430.68,Online,D339,Completed
1049,U6074,Bike,Pune Center,Bangalore Station,02-06-2024,01:37,12.9,206.4,Online,D152,Cancelled
1050,U6318,Hatchback,Mumbai Center,Bangalore Station,04-06-2024,05:18,16.3,346.11,Online,D203,Cancelled
